x p rho alpha1 U rho1 rho2
0.002500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.007500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.012500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.017500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.022500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.027500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.032500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.037500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.042500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.047500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.052500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.057500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.062500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.067500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.072500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.077500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.082500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.087500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.092500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.097500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.102500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.107500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.112500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.117500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.122500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.127500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.132500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.137500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.142500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.147500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.152500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.157500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.162500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.167500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.172500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.177500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.182500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.187500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.192500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.197500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.202500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.207500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.212500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.217500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.222500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.227500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.232500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.237500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.242500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.247500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.252500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.257500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.262500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.267500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.272500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.277500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.282500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.287500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.292500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.297500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.302500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.307500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.312500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.317500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.322500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.327500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.332500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.337500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.342500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.347500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.352500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.357500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.362500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.367500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
