x,T,p,rho,U_0,U_1,U_2
0.000625,2.5,1,0.999943,4.76043e-10,0,0
0.001875,2.5,1,0.999943,4.76043e-10,0,0
0.003125,2.5,1,0.999943,4.76043e-10,0,0
0.004375,2.5,1,0.999943,4.76043e-10,0,0
0.005625,2.5,1,0.999943,1.68525e-09,0,0
0.006875,2.5,1,0.999943,1.68525e-09,0,0
0.008125,2.5,1,0.999943,1.68525e-09,0,0
0.009375,2.5,1,0.999943,1.68525e-09,0,0
0.010625,2.5,1,0.999943,3.8117e-09,0,0
0.011875,2.5,1,0.999943,3.8117e-09,0,0
0.013125,2.5,1,0.999943,3.8117e-09,0,0
0.014375,2.5,1,0.999943,3.8117e-09,0,0
0.015625,2.5,1,0.999943,7.94657e-09,0,0
0.016875,2.5,1,0.999943,7.94657e-09,0,0
0.018125,2.5,1,0.999943,7.94657e-09,0,0
0.019375,2.5,1,0.999943,7.94657e-09,0,0
0.020625,2.5,1,0.999943,1.61138e-08,0,0
0.021875,2.5,1,0.999943,1.61138e-08,0,0
0.023125,2.5,1,0.999943,1.61138e-08,0,0
0.024375,2.5,1,0.999943,1.61138e-08,0,0
0.025625,2.5,1,0.999943,3.21275e-08,0,0
0.026875,2.5,1,0.999943,3.21275e-08,0,0
0.028125,2.5,1,0.999943,3.21275e-08,0,0
0.029375,2.5,1,0.999943,3.21275e-08,0,0
0.030625,2.5,1,0.999943,6.31231e-08,0,0
0.031875,2.5,1,0.999943,6.31231e-08,0,0
0.033125,2.5,1,0.999943,6.31231e-08,0,0
0.034375,2.5,1,0.999943,6.31231e-08,0,0
0.035625,2.5,1,0.999943,1.22262e-07,0,0
0.036875,2.5,1,0.999943,1.22262e-07,0,0
0.038125,2.5,1,0.999943,1.22262e-07,0,0
0.039375,2.5,1,0.999943,1.22262e-07,0,0
0.040625,2.5,1,0.999943,2.33439e-07,0,0
0.041875,2.5,1,0.999943,2.33439e-07,0,0
0.043125,2.5,1,0.999943,2.33439e-07,0,0
0.044375,2.5,1,0.999943,2.33439e-07,0,0
0.045625,2.5,0.999999,0.999943,4.39313e-07,0,0
