      x               rho             U               p               u
      0.000625        1.000000        0.000000        1.000000        2.500000
      0.001875        1.000000        0.000000        1.000000        2.500000
      0.003125        1.000000        0.000000        1.000000        2.500000
      0.004375        1.000000        0.000000        1.000000        2.500000
      0.005625        1.000000        0.000000        1.000000        2.500000
      0.006875        1.000000        0.000000        1.000000        2.500000
      0.008125        1.000000        0.000000        1.000000        2.500000
      0.009375        1.000000        0.000000        1.000000        2.500000
      0.010625        1.000000        0.000000        1.000000        2.500000
      0.011875        1.000000        0.000000        1.000000        2.500000
      0.013125        1.000000        0.000000        1.000000        2.500000
      0.014375        1.000000        0.000000        1.000000        2.500000
      0.015625        1.000000        0.000000        1.000000        2.500000
      0.016875        1.000000        0.000000        1.000000        2.500000
      0.018125        1.000000        0.000000        1.000000        2.500000
      0.019375        1.000000        0.000000        1.000000        2.500000
      0.020625        1.000000        0.000000        1.000000        2.500000
      0.021875        1.000000        0.000000        1.000000        2.500000
      0.023125        1.000000        0.000000        1.000000        2.500000
      0.024375        1.000000        0.000000        1.000000        2.500000
      0.025625        1.000000        0.000000        1.000000        2.500000
      0.026875        1.000000        0.000000        1.000000        2.500000
      0.028125        1.000000        0.000000        1.000000        2.500000
      0.029375        1.000000        0.000000        1.000000        2.500000
      0.030625        1.000000        0.000000        1.000000        2.500000
      0.031875        1.000000        0.000000        1.000000        2.500000
      0.033125        1.000000        0.000000        1.000000        2.500000
      0.034375        1.000000        0.000000        1.000000        2.500000
      0.035625        1.000000        0.000000        1.000000        2.500000
      0.036875        1.000000        0.000000        1.000000        2.500000
      0.038125        1.000000        0.000000        1.000000        2.500000
      0.039375        1.000000        0.000000        1.000000        2.500000
      0.040625        1.000000        0.000000        1.000000        2.500000
      0.041875        1.000000        0.000000        1.000000        2.500000
      0.043125        1.000000        0.000000        1.000000        2.500000
      0.044375        1.000000        0.000000        1.000000        2.500000
      0.045625        1.000000        0.000000        1.000000        2.500000
      0.046875        1.000000        0.000000        1.000000        2.500000
      0.048125        1.000000        0.000000        1.000000        2.500000
      0.049375        1.000000        0.000000        1.000000        2.500000
      0.050625        1.000000        0.000000        1.000000        2.500000
      0.051875        1.000000        0.000000        1.000000        2.500000
      0.053125        1.000000        0.000000        1.000000        2.500000
      0.054375        1.000000        0.000000        1.000000        2.500000
      0.055625        1.000000        0.000000        1.000000        2.500000
      0.056875        1.000000        0.000000        1.000000        2.500000
      0.058125        1.000000        0.000000        1.000000        2.500000
      0.059375        1.000000        0.000000        1.000000        2.500000
      0.060625        1.000000        0.000000        1.000000        2.500000
      0.061875        1.000000        0.000000        1.000000        2.500000
      0.063125        1.000000        0.000000        1.000000        2.500000
      0.064375        1.000000        0.000000        1.000000        2.500000
      0.065625        1.000000        0.000000        1.000000        2.500000
      0.066875        1.000000        0.000000        1.000000        2.500000
      0.068125        1.000000        0.000000        1.000000        2.500000
      0.069375        1.000000        0.000000        1.000000        2.500000
      0.070625        1.000000        0.000000        1.000000        2.500000
      0.071875        1.000000        0.000000        1.000000        2.500000
      0.073125        1.000000        0.000000        1.000000        2.500000
      0.074375        1.000000        0.000000        1.000000        2.500000
      0.075625        1.000000        0.000000        1.000000        2.500000
      0.076875        1.000000        0.000000        1.000000        2.500000
      0.078125        1.000000        0.000000        1.000000        2.500000
      0.079375        1.000000        0.000000        1.000000        2.500000
      0.080625        1.000000        0.000000        1.000000        2.500000
      0.081875        1.000000        0.000000        1.000000        2.500000
      0.083125        1.000000        0.000000        1.000000        2.500000
      0.084375        1.000000        0.000000        1.000000        2.500000
