x,T,p,U_0,U_1,U_2
0.000625,1,0.4,-2,0,0
0.001875,1,0.4,-2,0,0
0.003125,1,0.4,-2,0,0
0.004375,1,0.4,-2,0,0
0.005625,1,0.4,-2,0,0
0.006875,1,0.4,-2,0,0
0.008125,1,0.4,-2,0,0
0.009375,1,0.4,-2,0,0
0.010625,1,0.4,-2,0,0
0.011875,1,0.4,-2,0,0
0.013125,1,0.4,-2,0,0
0.014375,1,0.4,-2,0,0
0.015625,1,0.4,-2,0,0
0.016875,1,0.4,-2,0,0
0.018125,1,0.4,-2,0,0
0.019375,1,0.4,-2,0,0
0.020625,1,0.4,-2,0,0
0.021875,1,0.4,-2,0,0
0.023125,1,0.4,-2,0,0
0.024375,1,0.4,-2,0,0
0.025625,1,0.4,-2,0,0
0.026875,1,0.4,-2,0,0
0.028125,1,0.4,-2,0,0
0.029375,1,0.4,-2,0,0
0.030625,1,0.4,-2,0,0
0.031875,1,0.4,-2,0,0
0.033125,1,0.4,-2,0,0
0.034375,1,0.4,-2,0,0
0.035625,1,0.4,-2,0,0
0.036875,1,0.4,-2,0,0
0.038125,1,0.4,-2,0,0
0.039375,1,0.4,-2,0,0
0.040625,1,0.4,-2,0,0
0.041875,1,0.4,-2,0,0
0.043125,1,0.4,-2,0,0
0.044375,1,0.4,-2,0,0
0.045625,1,0.4,-2,0,0
0.046875,1,0.4,-2,0,0
0.048125,1,0.4,-2,0,0
0.049375,1,0.4,-2,0,0
0.050625,1,0.4,-2,0,0
0.051875,1,0.4,-2,0,0
0.053125,1,0.4,-2,0,0
0.054375,1,0.4,-2,0,0
0.055625,1,0.4,-2,0,0
0.056875,1,0.4,-2,0,0
0.058125,1,0.4,-2,0,0
0.059375,1,0.4,-2,0,0
0.060625,1,0.4,-2,0,0
0.061875,1,0.4,-2,0,0
0.063125,1,0.4,-2,0,0
0.064375,1,0.4,-2,0,0
0.065625,1,0.4,-2,0,0
0.066875,1,0.4,-2,0,0
0.068125,1,0.4,-2,0,0
0.069375,1,0.4,-2,0,0
0.070625,1,0.4,-2,0,0
0.071875,1,0.4,-2,0,0
0.073125,1,0.4,-2,0,0
0.074375,1,0.4,-2,0,0
0.075625,1,0.4,-2,0,0
0.076875,1,0.4,-2,0,0
0.078125,1,0.4,-2,0,0
0.079375,1,0.4,-2,0,0
0.080625,1,0.4,-2,0,0
0.081875,1,0.4,-2,0,0
0.083125,1,0.4,-2,0,0
0.084375,1,0.4,-2,0,0
0.085625,1,0.4,-2,0,0
0.086875,1,0.4,-2,0,0
0.088125,1,0.4,-2,0,0
0.089375,1,0.4,-2,0,0
0.090625,1,0.4,-2,0,0
0.091875,1,0.4,-2,0,0
0.093125,1,0.4,-2,0,0
0.094375,1,0.4,-2,0,0
0.095625,1,0.4,-2,0,0
0.096875,1,0.4,-2,0,0
0.098125,1,0.4,-2,0,0
0.099375,1,0.4,-2,0,0
0.100625,1,0.4,-2,0,0
0.101875,1,0.4,-2,0,0
0.103125,1,0.4,-2,0,0
0.104375,1,0.4,-2,0,0
0.105625,1,0.4,-2,0,0
0.106875,1,0.4,-2,0,0
0.108125,1,0.4,-2,0,0
0.109375,1,0.4,-2,0,0
0.110625,1,0.4,-2,0,0
0.111875,1,0.4,-2,0,0
0.113125,1,0.4,-2,0,0
0.114375,1,0.4,-2,0,0
0.115625,1,0.4,-2,0,0
0.116875,1,0.4,-2,0,0
0.118125,1,0.4,-2,0,0
0.119375,1,0.4,-2,0,0
0.120625,1,0.4,-2,0,0
0.121875,1,0.4,-2,0,0
0.123125,1,0.4,-2,0,0
0.124375,1,0.4,-2,0,0
0.125625,1,0.4,-2,0,0
0.126875,1,0.4,-2,0,0
0.128125,1,0.4,-2,0,0
0.129375,1,0.4,-2,0,0
0.130625,1,0.4,-2,0,0
0.131875,1,0.4,-2,0,0
0.133125,1,0.4,-2,0,0
0.134375,1,0.4,-2,0,0
0.135625,1,0.4,-2,0,0
0.136875,1,0.4,-2,0,0
0.138125,1,0.4,-2,0,0
0.139375,1,0.4,-2,0,0
0.140625,1,0.4,-2,0,0
0.141875,1,0.4,-2,0,0
0.143125,1,0.4,-2,0,0
0.144375,1,0.4,-2,0,0
0.145625,1,0.4,-2,0,0
0.146875,1,0.4,-2,0,0
0.148125,1,0.4,-2,0,0
0.149375,1,0.4,-2,0,0
0.150625,1,0.4,-2,0,0
0.151875,1,0.4,-2,0,0
0.153125,1,0.4,-2,0,0
0.154375,1,0.4,-2,0,0
0.155625,1,0.4,-2,0,0
0.156875,1,0.4,-2,0,0
0.158125,1,0.4,-2,0,0
0.159375,1,0.4,-2,0,0
0.160625,1,0.4,-2,0,0
0.161875,1,0.4,-2,0,0
0.163125,1,0.4,-2,0,0
0.164375,1,0.4,-2,0,0
0.165625,1,0.4,-2,0,0
0.166875,1,0.4,-2,0,0
0.168125,1,0.4,-2,0,0
0.169375,1,0.4,-2,0,0
